,Parameter,Difference
0,Drift Rate,1.1263869140253193
1,Drift Rate,1.5794867241039703
2,Drift Rate,2.290597282863935
3,Drift Rate,0.39133198878984543
4,Drift Rate,0.11305927444425468
5,Drift Rate,0.5608985262784697
6,Drift Rate,0.3579931819704252
7,Drift Rate,0.38617991957915443
8,Drift Rate,0.6563446805658155
9,Drift Rate,-0.45344638454193864
10,Drift Rate,0.4045679500138366
11,Drift Rate,-0.3130032710743291
12,Drift Rate,0.15397183997618202
13,Drift Rate,0.6830656436121645
14,Drift Rate,0.334126013153343
15,Drift Rate,0.557329044179689
16,Drift Rate,1.4479867648083147
17,Drift Rate,0.4983711473046758
18,Drift Rate,1.3440220428451946
19,Drift Rate,0.8100193683179593
20,Boundary Separation,-0.07399674929716182
21,Boundary Separation,-0.16699200146235027
22,Boundary Separation,0.056606189450877475
23,Boundary Separation,-0.13439942796564297
24,Boundary Separation,-0.301454863046546
25,Boundary Separation,-0.05371611789425901
26,Boundary Separation,-0.07563559851199697
27,Boundary Separation,-0.3616508597067798
28,Boundary Separation,-0.19381651276915313
29,Boundary Separation,-0.5453374178043684
30,Boundary Separation,-0.04505892980216686
31,Boundary Separation,-0.38045843935234447
32,Boundary Separation,-0.0721645289120435
33,Boundary Separation,-0.10992147097273441
34,Boundary Separation,0.09374432084621431
35,Boundary Separation,0.034719165340804214
36,Boundary Separation,-0.10285089188592167
37,Boundary Separation,-0.359749600412954
38,Boundary Separation,-0.05031394718125082
39,Boundary Separation,-0.12432577002289591
40,Non-decision Time,-0.007173301266578447
41,Non-decision Time,-0.05745958389272077
42,Non-decision Time,-0.039258439860307026
43,Non-decision Time,-0.05706454707068809
44,Non-decision Time,-0.07556321469050603
45,Non-decision Time,-0.08795777158305429
46,Non-decision Time,-0.015086362161569444
47,Non-decision Time,-0.06724576167868423
48,Non-decision Time,-0.09198829139012049
49,Non-decision Time,-0.0018485253815122005
50,Non-decision Time,-0.027471811485357767
51,Non-decision Time,-0.24649701276767305
52,Non-decision Time,-0.1123564323206096
53,Non-decision Time,-0.20893983411907707
54,Non-decision Time,-0.10296048916721867
55,Non-decision Time,-0.0855052434048526
56,Non-decision Time,-0.05323798407207597
57,Non-decision Time,-0.0448392473811241
58,Non-decision Time,-0.1269589613197981
59,Non-decision Time,-0.08513603561934663
