,Parameter,Difference
0,Drift Rate,-0.4766086917873231
1,Drift Rate,-0.5885271496197007
2,Drift Rate,-0.19882515170296888
3,Drift Rate,-0.0642202580345379
4,Drift Rate,-0.48782437683929203
5,Drift Rate,0.6041458060832232
6,Drift Rate,-1.751584425823034
7,Drift Rate,-1.0849972930917509
8,Drift Rate,-0.34218351612679276
9,Drift Rate,-1.6018013597230896
10,Drift Rate,0.14440363683494306
11,Drift Rate,0.23944361570899364
12,Drift Rate,0.6440814504638457
13,Drift Rate,-1.4813374900188356
14,Drift Rate,0.07194821462594136
15,Drift Rate,-0.08537708638247388
16,Drift Rate,-0.4893554770349464
17,Drift Rate,0.5795919806333742
18,Drift Rate,1.0006962742221397
19,Drift Rate,2.0022259932123276
20,Drift Rate,-0.46838192100736586
21,Drift Rate,1.3232540196397489
22,Drift Rate,1.8968192295404434
23,Drift Rate,0.057146546669363474
24,Drift Rate,-1.4040504929740463
25,Drift Rate,-1.469551422667763
26,Drift Rate,-1.7471340793152883
27,Drift Rate,-2.6862306250134558
28,Drift Rate,-2.4281801960688663
29,Drift Rate,-2.2026039504570534
30,Drift Rate,-2.9526854525820228
31,Drift Rate,-3.021217528134058
32,Drift Rate,-1.3619947697962602
33,Drift Rate,0.7688100079477684
34,Drift Rate,1.9235440446448133
35,Drift Rate,0.007473500094784313
36,Drift Rate,-1.9428756214728098
37,Drift Rate,-1.32988372033471
38,Drift Rate,-0.5347740805406005
39,Drift Rate,-0.8866838268689087
40,Drift Rate,-1.763417015870968
41,Drift Rate,-1.3265101800335852
42,Drift Rate,1.5916192384743795
43,Drift Rate,-0.6739389522383266
44,Drift Rate,-0.6513574802666056
45,Drift Rate,0.4180857259640107
46,Drift Rate,2.332873970838432
47,Drift Rate,1.2991904191471555
48,Drift Rate,-2.1167635881370317
49,Drift Rate,-0.5041916104817399
50,Drift Rate,-2.6969148352005403
51,Drift Rate,0.5053462115917036
52,Drift Rate,0.5535154977268864
53,Drift Rate,1.0402794298026294
54,Drift Rate,0.12894989346912755
55,Drift Rate,-2.4339778510248973
56,Drift Rate,-0.6882525470179799
57,Drift Rate,-2.320923219091592
58,Drift Rate,-1.19710121783229
59,Drift Rate,-0.9954208233213881
