,Parameter,Difference
0,Drift Rate,-0.15216612185723177
1,Drift Rate,1.5016540210539977
2,Drift Rate,-0.23659761048945493
3,Drift Rate,-0.14721941157582585
4,Drift Rate,0.7966073366251483
5,Drift Rate,0.3664149925783715
6,Drift Rate,-0.24854328181404073
7,Drift Rate,-0.017648436832869763
8,Drift Rate,0.6528620296163063
9,Drift Rate,0.25499360877545224
10,Drift Rate,0.5838853210672476
11,Drift Rate,0.0537510801631047
12,Drift Rate,0.679193733479516
13,Drift Rate,-0.11546693447589185
14,Drift Rate,0.34763265582335806
15,Drift Rate,0.4522891324400593
16,Drift Rate,0.6379668065282775
17,Drift Rate,0.5531769598840408
18,Drift Rate,0.28235305272573485
19,Drift Rate,0.05927596722026923
20,Drift Rate,1.0556587825645884
21,Drift Rate,0.6926528216504428
22,Drift Rate,0.30288801117904063
23,Drift Rate,0.46242515101636494
24,Drift Rate,-0.21219682255705208
25,Drift Rate,1.0101394996960844
26,Drift Rate,0.004993279125349859
27,Drift Rate,0.5167776624730551
28,Drift Rate,-0.23166957128853438
29,Drift Rate,0.23531176112789787
30,Drift Rate,-0.0912368970692905
31,Drift Rate,0.0512089083452143
32,Drift Rate,0.2110046639038221
33,Drift Rate,-0.9631824135771114
34,Drift Rate,-0.2052175689345248
35,Drift Rate,0.8043759973701554
36,Drift Rate,-0.24913856781849852
37,Drift Rate,-0.045555009017151704
38,Drift Rate,0.1972308347594678
39,Drift Rate,0.16657063225477953
40,Drift Rate,1.2099693779139953
41,Drift Rate,0.5492811571848943
42,Drift Rate,0.35205425318623607
43,Drift Rate,0.10335883685467051
44,Drift Rate,0.8965567838785105
45,Drift Rate,-0.03115972440034187
46,Drift Rate,0.72588105411914
47,Boundary Separation,-0.34897671863728275
48,Boundary Separation,-0.4642886211669487
49,Boundary Separation,-0.06964180229296357
50,Boundary Separation,-3.4188240587266012
51,Boundary Separation,-0.26119636952476255
52,Boundary Separation,-0.31280604495479547
53,Boundary Separation,-0.13215361314710672
54,Boundary Separation,-0.16673569999792182
55,Boundary Separation,-0.2506719339088329
56,Boundary Separation,-0.18940015541243926
57,Boundary Separation,-0.4979331180936589
58,Boundary Separation,-0.32916505723426015
59,Boundary Separation,-0.37811927633635123
60,Boundary Separation,-0.19904389127222855
61,Boundary Separation,-0.45115330511758467
62,Boundary Separation,-0.43152500164846663
63,Boundary Separation,-0.3077157041034093
64,Boundary Separation,-0.29076677091969094
65,Boundary Separation,-0.2844727375274425
66,Boundary Separation,-0.24538714138513806
67,Boundary Separation,-0.3382249083944243
68,Boundary Separation,-0.26492217295674225
69,Boundary Separation,-0.25502300809143685
70,Boundary Separation,-0.4884191725213032
71,Boundary Separation,-0.03791796352800758
72,Boundary Separation,-0.3885548617151846
73,Boundary Separation,-0.5061860314831339
74,Boundary Separation,-0.2825868570647566
75,Boundary Separation,-0.20625173434868682
76,Boundary Separation,-0.3059768957271761
77,Boundary Separation,-0.09856448225060854
78,Boundary Separation,-0.19355540892135725
79,Boundary Separation,-0.31835275792630235
80,Boundary Separation,-0.3371335235492702
81,Boundary Separation,-0.21769213906705354
82,Boundary Separation,-0.2947172817443353
83,Boundary Separation,-0.25826999607339085
84,Boundary Separation,-0.2446254682147213
85,Boundary Separation,-0.1986624772569705
86,Boundary Separation,-0.8637291990532553
87,Boundary Separation,-0.26413217990364013
88,Boundary Separation,-0.4741512796312859
89,Boundary Separation,-0.21495579398906006
90,Boundary Separation,-0.5995637284992261
91,Boundary Separation,-0.23203555989155444
92,Boundary Separation,-0.16862645374450402
93,Boundary Separation,-0.6356994238736009
94,Non-decision Time,-0.0563019213886366
95,Non-decision Time,-0.04247905953845593
96,Non-decision Time,-0.13554119022147348
97,Non-decision Time,-0.17615626985369276
98,Non-decision Time,-0.01473313280857258
99,Non-decision Time,-0.0766127401071342
100,Non-decision Time,-0.18991609576261592
101,Non-decision Time,-0.12091682949597465
102,Non-decision Time,-0.024051171182863706
103,Non-decision Time,-0.020797144688686875
104,Non-decision Time,-0.01196874650134061
105,Non-decision Time,-0.2327406248284864
106,Non-decision Time,-0.048127013621971804
107,Non-decision Time,-0.06950313900770372
108,Non-decision Time,0.014829471825151819
109,Non-decision Time,-0.08184431587519553
110,Non-decision Time,0.015341921094194966
111,Non-decision Time,-0.03561974682431496
112,Non-decision Time,0.06923390412247138
113,Non-decision Time,-0.0639452762888261
114,Non-decision Time,-0.08013791610212861
115,Non-decision Time,-0.09999915648686608
116,Non-decision Time,-0.1015660978382783
117,Non-decision Time,-0.038634017590858105
118,Non-decision Time,-0.1903988315993636
119,Non-decision Time,-0.040303056330470544
120,Non-decision Time,-0.24236104879147674
121,Non-decision Time,-0.09567474220360966
122,Non-decision Time,-0.160010705231115
123,Non-decision Time,-0.22525251043773292
124,Non-decision Time,-0.1137059695260671
125,Non-decision Time,-0.016607225687715776
126,Non-decision Time,-0.10322218709109449
127,Non-decision Time,-0.3398784048309881
128,Non-decision Time,-0.047076265632194525
129,Non-decision Time,-0.11798694108188618
130,Non-decision Time,-0.07678801175319083
131,Non-decision Time,-0.1293233822199878
132,Non-decision Time,-0.1761051322147288
133,Non-decision Time,-0.09193016595325681
134,Non-decision Time,-0.19944741249935194
135,Non-decision Time,-0.023780577924134405
136,Non-decision Time,-0.0479919151076601
137,Non-decision Time,0.18965482859735172
138,Non-decision Time,-0.008509246043813812
139,Non-decision Time,-0.050994255244408204
140,Non-decision Time,-0.20319074367860257
