,Parameter,Difference
0,Drift Rate,0.18290391889908042
1,Drift Rate,0.1358764984238489
2,Drift Rate,-0.0385583664168952
3,Drift Rate,0.0009415124565809035
4,Drift Rate,0.03620849867559078
5,Drift Rate,0.0746383418756183
6,Drift Rate,-0.0641247466926664
7,Drift Rate,-0.014322947433765387
8,Drift Rate,-0.0157815929304425
9,Drift Rate,-0.1154362351102642
10,Drift Rate,0.4436377481739843
11,Drift Rate,-0.0958504094292302
12,Drift Rate,0.03876912475686056
13,Drift Rate,0.0022340466920544033
14,Drift Rate,-0.0832658643902776
15,Drift Rate,-0.0845770614909262
16,Drift Rate,0.05456444076355113
17,Drift Rate,0.11458158937432411
18,Drift Rate,0.0949207747683914
19,Drift Rate,-0.018519286357650933
20,Drift Rate,0.0957734629306474
21,Drift Rate,0.0
22,Drift Rate,0.041560637931887495
23,Drift Rate,0.020006405820749723
24,Drift Rate,0.24220950627560348
25,Drift Rate,0.22073957409619668
26,Drift Rate,0.0457825367526985
27,Drift Rate,-0.06115586912706528
28,Drift Rate,0.010768606324017813
29,Drift Rate,-0.011492255786821004
30,Drift Rate,-0.15909185125520148
31,Drift Rate,0.03620018352565388
32,Drift Rate,-0.4576681658622779
33,Drift Rate,-0.051867784896154304
34,Drift Rate,-0.053918223192060466
35,Drift Rate,0.1569194963112769
36,Drift Rate,0.0821330253474619
37,Drift Rate,0.1434088006335793
38,Boundary Separation,-2.1887948145178697
39,Boundary Separation,-0.6354220728301545
40,Boundary Separation,-0.19608762240082755
41,Boundary Separation,-0.37234607018933086
42,Boundary Separation,-0.5522346467621868
43,Boundary Separation,-2.576247413430016
44,Boundary Separation,-0.9386546735532245
45,Boundary Separation,-0.8484754037721798
46,Boundary Separation,-0.3700665255017598
47,Boundary Separation,-0.2668613130812709
48,Boundary Separation,-2.254338721008169
49,Boundary Separation,-3.850706842398137
50,Boundary Separation,-0.72830510486475
51,Boundary Separation,-1.825633972252639
52,Boundary Separation,-1.632438567249346
53,Boundary Separation,-3.089881876059898
54,Boundary Separation,-0.15698116178420474
55,Boundary Separation,-0.992796701483636
56,Boundary Separation,-0.43614746636171264
57,Boundary Separation,-3.753937550818265
58,Boundary Separation,0.31884407408330917
59,Boundary Separation,0.03618319871644604
60,Boundary Separation,-1.416080727486376
61,Boundary Separation,-0.4165832172361905
62,Boundary Separation,-0.31644387909443006
63,Boundary Separation,-0.779959385591766
64,Boundary Separation,-1.4367921627113605
65,Boundary Separation,-2.335913138638241
66,Boundary Separation,-2.0383207879962306
67,Boundary Separation,0.29696900160421347
68,Boundary Separation,-1.2218517084268097
69,Boundary Separation,-1.7081530897416288
70,Boundary Separation,-1.1331151458242077
71,Boundary Separation,-0.586893555286488
72,Boundary Separation,-2.0337172124110907
73,Boundary Separation,-0.7898273449664686
74,Boundary Separation,-0.078583352488925
75,Boundary Separation,-2.1083846408853004
76,Non-decision Time,-0.2257321150785263
77,Non-decision Time,0.00902804212917463
78,Non-decision Time,-0.2903059576889408
79,Non-decision Time,-0.5779461956607946
80,Non-decision Time,-0.24477472460075866
81,Non-decision Time,-0.19448557820081713
82,Non-decision Time,-0.6362599299460234
83,Non-decision Time,0.06045633962102559
84,Non-decision Time,0.0492279550506151
85,Non-decision Time,-1.638267031170426e-05
86,Non-decision Time,-0.009364077584828157
87,Non-decision Time,-0.522281189077332
88,Non-decision Time,-0.23457342972837358
89,Non-decision Time,-0.12740904736917158
90,Non-decision Time,-0.7678620295143518
91,Non-decision Time,-0.25273299335835153
92,Non-decision Time,-0.8576422983650749
93,Non-decision Time,0.10549139877396552
94,Non-decision Time,0.0037301771201155853
95,Non-decision Time,-0.3350371734538238
96,Non-decision Time,-0.6644952182108088
97,Non-decision Time,-0.2515942273724883
98,Non-decision Time,-0.6786934772871298
99,Non-decision Time,0.049746757832397015
100,Non-decision Time,-0.18611310149380672
101,Non-decision Time,0.3405279681967419
102,Non-decision Time,-0.5769442988094923
103,Non-decision Time,-0.8587253797642243
104,Non-decision Time,0.16538030783933122
105,Non-decision Time,0.019627239427623788
106,Non-decision Time,-0.6656589934955144
107,Non-decision Time,-0.0003717535876738981
108,Non-decision Time,-0.3928334111778404
109,Non-decision Time,-0.8459252713190534
110,Non-decision Time,-0.1472396077761282
111,Non-decision Time,-0.2217853917830886
112,Non-decision Time,-0.006518408397712783
113,Non-decision Time,-0.03084479955990241
