,Parameter,Difference
0,Drift Rate,-0.3940227907673419
1,Drift Rate,-0.8204405817372828
2,Drift Rate,-0.1390699830516791
3,Drift Rate,-0.24861493643394494
4,Drift Rate,-0.2520666532152469
5,Drift Rate,-0.3679496307845458
6,Drift Rate,-0.34853634838920344
7,Drift Rate,-0.005628390328739519
8,Drift Rate,-0.45074852606012317
9,Drift Rate,-0.4638318693041772
10,Drift Rate,-0.09210028055580621
11,Drift Rate,-0.47165407842648543
12,Drift Rate,-0.6702706034011798
13,Drift Rate,-0.515609072977681
14,Drift Rate,-0.16607094510513387
15,Drift Rate,-0.5095511506269119
16,Drift Rate,-0.16028712263597256
17,Drift Rate,-0.7501119748634573
18,Drift Rate,-0.3309466023553478
19,Drift Rate,-0.30124726062986973
20,Drift Rate,0.07796766247827838
21,Drift Rate,-0.4740688947813686
22,Drift Rate,-0.2364276915822762
23,Drift Rate,-0.4867164085418525
24,Drift Rate,-0.756817860972555
25,Drift Rate,-0.17116636858376955
26,Drift Rate,-0.555441360712075
27,Drift Rate,0.0716937777089935
28,Drift Rate,-0.3708494379079045
29,Drift Rate,-0.031099548810507888
30,Drift Rate,0.02761147543321249
31,Drift Rate,0.14759232654085352
32,Drift Rate,-0.031114064063359204
33,Drift Rate,-0.619579294700929
34,Boundary Separation,-0.09419301246510592
35,Boundary Separation,-0.04280147772110665
36,Boundary Separation,-0.07597332001567769
37,Boundary Separation,-0.02137419340868474
38,Boundary Separation,-0.07862153900081181
39,Boundary Separation,0.00895565401260523
40,Boundary Separation,-0.06514770544174614
41,Boundary Separation,-0.23763167834091642
42,Boundary Separation,-0.06504245393612806
43,Boundary Separation,-0.0548200463183553
44,Boundary Separation,-0.0345676062343917
45,Boundary Separation,-0.25523565749627175
46,Boundary Separation,-0.0815762593810091
47,Boundary Separation,-0.0889902878481108
48,Boundary Separation,0.017917198786318922
49,Boundary Separation,-0.06574703006021637
50,Boundary Separation,-0.07634975911399222
51,Boundary Separation,-0.21924260406355772
52,Boundary Separation,-0.0588172541130777
53,Boundary Separation,-0.05870016424735264
54,Boundary Separation,-0.03926327407033148
55,Boundary Separation,-0.13847679286760506
56,Boundary Separation,-0.10632408486001932
57,Boundary Separation,-0.12566362335212022
58,Boundary Separation,-0.4125006257950977
59,Boundary Separation,-0.08110509330540616
60,Boundary Separation,-0.15245866412544434
61,Boundary Separation,0.0207694329860319
62,Boundary Separation,-0.09265492018928001
63,Boundary Separation,-0.07200515961056991
64,Boundary Separation,-0.017828216237924466
65,Boundary Separation,-0.03657388521488408
66,Boundary Separation,-0.07016062680334584
67,Boundary Separation,-0.3253508578574649
68,Non-decision Time,-0.06540464686714789
69,Non-decision Time,-0.06565910581539391
70,Non-decision Time,0.002343975608380483
71,Non-decision Time,-0.0177172642750017
72,Non-decision Time,-0.00086082139564711
73,Non-decision Time,-0.0331998788595676
74,Non-decision Time,-0.021822326917413815
75,Non-decision Time,-0.007314909215278609
76,Non-decision Time,-0.012653910545263491
77,Non-decision Time,-0.03213546986590041
78,Non-decision Time,-2.4071996513275185e-05
79,Non-decision Time,-0.03551379980812039
80,Non-decision Time,-0.03765370349654118
81,Non-decision Time,-0.004254903916620589
82,Non-decision Time,-0.02723737040874097
83,Non-decision Time,-0.0169591590340519
84,Non-decision Time,0.001808553571303606
85,Non-decision Time,-0.004651454323066712
86,Non-decision Time,0.004527375410765977
87,Non-decision Time,-0.00666995590625552
88,Non-decision Time,0.003202456066198789
89,Non-decision Time,0.00135510359632679
90,Non-decision Time,0.004922819327933703
91,Non-decision Time,-0.0037370562580927025
92,Non-decision Time,0.002869871444170502
93,Non-decision Time,0.017660826740292984
94,Non-decision Time,-0.05437671669660871
95,Non-decision Time,-0.0409600836108954
96,Non-decision Time,-0.04097033444825479
97,Non-decision Time,0.004062421407293487
98,Non-decision Time,0.0026595335023399946
99,Non-decision Time,-0.00021272082803169834
100,Non-decision Time,0.0033057072116906006
101,Non-decision Time,-0.002084331916923282
