,Participant,Difficulty,Incentive,Drift Rate,Boundary Separation,Non-decision Time
1,1,med,gain,1.1309530239696403e-08,0.813640628693033,0.3305651431099687
1,1,med,loss,0.1526689845335798,0.954986214789837,0.36545314573328846
1,1,med,none,0.09469881876714382,0.9480984668425971,0.3940348215532331
2,2,med,gain,0.28400792507431766,0.8083812981991356,0.5250260347863365
2,2,med,loss,0.19588817553711654,0.814855346642572,0.5076184495573673
2,2,med,none,0.15667150937601793,1.0093338031467833,0.18832441859061272
3,3,med,gain,0.20339045190704408,0.571395983881651,0.21767818650591442
3,3,med,loss,0.1099303825441452,0.5,0.23320544533486692
3,3,med,none,0.14537702001513814,0.5,0.22410026787875736
4,4,med,gain,0.5066102115689358,0.769628251995893,0.28766262694144656
4,4,med,loss,0.4567285213369955,0.7417603234219462,0.22588688173603633
4,4,med,none,0.428355078751477,0.731066585167674,0.2253341403093556
5,5,med,gain,0.0,0.6232060725132008,0.32305052166274173
5,5,med,loss,0.0,0.604448533939647,0.38236881956010826
5,5,med,none,0.10236917842975407,0.5333844245193846,0.39501985447273935
6,6,med,gain,0.553720729715174,0.8785303226739783,0.2796920472798799
6,6,med,loss,0.0,0.9101446369610126,0.19878810634311128
6,6,med,none,0.42829864395556183,0.8914730145126647,0.19576876017366862
7,7,med,gain,0.06947525124427792,0.8660818620287605,0.2034948108376332
7,7,med,loss,0.0,0.727203085916473,0.37938599843969767
7,7,med,none,0.27569149028851847,0.8253187571323503,0.21742972079209244
8,8,med,gain,1.1278066329672258,0.6748819701305027,0.5469273596560505
8,8,med,loss,1.1011433769817103,0.6055409932224064,0.5165264165907393
8,8,med,none,0.8366819025254473,0.6645753843432756,0.4416290099235601
9,9,med,gain,0.0,0.5408583511621612,0.25240027197618603
9,9,med,loss,0.0,0.5806019956688356,0.22737314090333588
9,9,med,none,0.0,0.5831957364047281,0.2143694301246159
10,10,med,gain,0.46839310378024845,0.6737294290004114,0.4928745076867098
10,10,med,loss,0.14273141465669487,0.6757975275233153,0.3162494861373345
10,10,med,none,0.2980422337850974,0.7246069330785389,0.3453331627886566
11,11,med,gain,1.2578771665850317,0.9428248257482359,0.4272270933534989
11,11,med,loss,1.146263272123035,0.8507422675275618,0.42287651373360324
11,11,med,none,1.1914209204802668,1.001095840548932,0.47122182889925696
12,12,med,gain,0.060913550815737676,0.5650882111145633,0.21753181504230984
12,12,med,loss,0.021158215094231048,0.5552507704607187,0.23557925877591446
12,12,med,none,0.0,0.6264969265805536,0.26294717734506684
13,13,med,gain,0.6057890247850344,0.8706630817229113,0.39774442551830896
13,13,med,loss,1.2015359665309677,0.795473126233963,0.3695282880008329
13,13,med,none,0.7740817738663542,0.7209730041628667,0.3913337104511896
14,14,med,gain,1.0480999638173052,0.8603860405668644,0.2826687562622961
14,14,med,loss,0.0,0.960297860791715,0.3404705520188356
14,14,med,none,1.0304065375456355,0.8872297608140711,0.3969170972154492
15,15,med,gain,1.004773388565171,0.8199115121178698,0.4320552269981049
15,15,med,loss,0.9977906523061073,0.752494521525561,0.3859473465526156
15,15,med,none,1.2413900820984252,0.9199942035452973,0.4898004687321478
16,16,med,gain,0.2856494471950984,0.8295735473743177,0.1381131174366828
16,16,med,loss,0.11502166256537147,0.8756368157446094,0.1256672576402506
