,Frequency,SAT,Participant,Drift Rate,Boundary Separation,Non-decision Time,participant
2,1,1,,5.035512013738585,0.932458302766423,0.349688856338536,1.0
3,1,2,,5.512120705525908,0.7879496899490186,0.3759211416405115,1.0
4,2,1,,3.1051292598555276,0.5989377824150882,0.37489619381402917,1.0
5,2,2,,3.6936564094752287,1.0458928690292846,0.35539763085001874,1.0
6,3,1,,1.806203934999041,0.9768429912048096,0.34750604788296957,1.0
7,3,2,,2.00502908670201,0.6524427565833149,0.3810467862115162,1.0
8,4,1,,3.918931706730436,0.8854524460321884,0.33829642528525816,1.0
9,4,2,,3.983151964764974,0.7129871114417582,0.39345112044819197,1.0
10,5,1,,4.312374296979047,0.8146422522082732,0.35110849568117064,1.0
11,5,2,,4.800198673818339,1.1271423039145196,0.3562160839493169,1.0
12,6,1,,5.533249849059804,0.9546483050776207,0.3373358655786266,1.0
13,6,2,,4.929104042976581,1.061192412978942,0.3506582216029984,1.0
14,1,1,,3.983853238015853,0.8027114362267589,0.3124325255190488,3.0
15,1,2,,5.735437663838887,1.490066582041671,0.38451599934285,3.0
16,2,1,,2.4789666954829377,0.7976990812643491,0.31799901278311493,3.0
17,2,2,,3.5639639885746885,1.4907170231327784,0.34562105187337955,3.0
18,3,1,,2.4781093251660664,0.8751857185587669,0.31197559043688833,3.0
19,3,2,,2.820292841292859,1.3350710076378136,0.3962952645395639,3.0
20,4,1,,2.4706448626404818,0.8900052401533232,0.27318624142357956,3.0
21,4,2,,4.072446222363571,2.6441195391604624,0.10059635645166004,3.0
22,5,1,,2.784368197507474,0.6178066600116177,0.29175924759166016,3.0
23,5,2,,2.639964560672531,1.3117239226948996,0.345088849431321,3.0
24,6,1,,4.257849511603105,0.950745043436795,0.33460317261537764,3.0
25,6,2,,4.0184058958941105,1.8564111469851736,0.3137092197059698,3.0
26,1,1,,5.65880464471799,0.6593364342806103,0.3224878240069726,4.0
27,1,2,,5.014723194254144,1.0167193263595422,0.3163718458078604,4.0
28,2,1,,3.7020802544253852,0.6651169434129488,0.3253506788293773,4.0
29,2,2,,5.1834177444442195,1.1785873046019153,0.33980400241777264,4.0
30,3,1,,3.170669644254034,0.8131325219024697,0.33397677382221974,4.0
31,3,2,,3.0987214296280925,1.0043348171964037,0.33771823852521315,4.0
32,4,1,,5.653802556917906,0.7705084780128922,0.3397450380810211,4.0
33,4,2,,5.73917964330038,1.5330703269099353,0.32344030521332573,4.0
34,5,1,,4.080810471162254,0.5635660820160304,0.32763439529401606,4.0
35,5,2,,4.5701659481972,1.2241952010515391,0.3467789236643253,4.0
36,6,1,,4.716239928920145,0.6870921108948668,0.3170159944223144,4.0
37,6,2,,4.136647948286771,1.1730972077662418,0.3421758997401068,4.0
38,1,1,,5.935491124504308,0.7057382951465692,0.3181498435001182,5.0
39,1,2,,4.9347948502821675,1.3461287964356334,0.33010908925837334,5.0
40,2,1,,5.658313540168681,0.7560234883882494,0.34479278887038217,5.0
41,2,2,,3.6560875469563534,0.9962580518745945,0.4164326527597755,5.0
42,3,1,,3.836253992207738,0.8296838785197288,0.33527920791919796,5.0
43,3,2,,4.304635913215104,0.9085892310209074,0.45779243260814106,5.0
44,4,1,,5.332049552694935,0.9038629890770169,0.3124128229241837,5.0
45,4,2,,4.008795533055186,1.0280023549073243,0.39560534308096995,5.0
46,5,1,,5.3881671740349075,0.559997815387164,0.3701353486704432,5.0
47,5,2,,3.491347944494465,0.943436502881633,0.4646057356678558,5.0
48,6,1,,4.45742913895239,0.8270687215010695,0.2931962712473129,5.0
49,6,2,,4.400282592283027,1.2095285076696165,0.4212373802989262,5.0
50,1,1,,4.134894317379544,0.9245180498527932,0.2490488987090731,6.0
51,1,2,,5.53894481035359,1.1883555039143179,0.36294216258967316,6.0
52,2,1,,2.2759348743290997,0.9942990518965612,0.21579574028781245,6.0
53,2,2,,3.745486296996863,1.0141881859934931,0.42227782311898987,6.0
54,3,1,,1.1049015288838124,1.050319595476272,0.19649410493941433,6.0
55,3,2,,2.8520356081991007,1.0786698432643411,0.42750121681238495,6.0
56,4,1,,1.8391730384188976,0.9700245485084579,0.2181365768435471,6.0
57,4,2,,4.525403663432353,1.4592220999715606,0.38175554978997533,6.0
58,5,1,,1.947292043000255,0.9455679437337479,0.2733833452263653,6.0
59,5,2,,4.375472239069121,1.3234680890278163,0.38662006568301593,6.0
60,6,1,,1.7250566335596424,1.1207294618061705,0.15725378744546042,6.0
61,6,2,,3.9276605840166954,1.1390215504130716,0.34994886316858276,6.0
62,1,1,,0.8161154573887387,0.7045184704314787,0.17628024199703124,7.0
63,1,2,,3.7688009099707616,1.1850787646809642,0.25668279051655807,7.0
64,2,1,,3.638193932707973e-08,0.886551190610839,0.24388806905970506,7.0
65,2,2,,3.021217564515997,1.1572268976362985,0.31302887009044766,7.0
66,3,1,,0.0,0.9035740909662366,0.1890156976088223,7.0
67,3,2,,1.3619947697962602,1.28881246741463,0.20420831144175028,7.0
68,4,1,,3.3736534438406798,1.0685220808559992,0.22602980884343737,7.0
69,4,2,,2.604843435892912,1.1521222154617419,0.30647159464616786,7.0
70,5,1,,4.115278196457436,1.0826608752183196,0.2183618992647553,7.0
71,5,2,,2.1917341518126228,1.0009462638165323,0.3397996723834708,7.0
72,6,1,,3.2533788002176913,0.9627530142730849,0.23865649175190823,7.0
73,6,2,,3.2459053001229075,1.1267928201648303,0.32894581080598345,7.0
74,1,1,,1.2187241584607824,1.0890793584015503,0.15276946179634354,8.0
75,1,2,,3.1615997799335918,1.4247656193445941,0.40063190925206627,8.0
76,2,1,,0.45065617373290917,1.1031059849558869,0.16419469814633436,8.0
77,2,2,,1.7805398940676191,1.9112638456554243,0.3176474914317134,8.0
78,3,1,,0.0,1.2186503378874913,0.16136092871562985,8.0
79,3,2,,0.5347740805406005,1.1579985975977842,0.287166677878365,8.0
80,4,1,,0.9686403838278522,1.0244843130383519,0.17542291406106642,8.0
81,4,2,,1.8553242106967607,1.9487358379125834,0.24230276874793943,8.0
82,5,1,,0.9044504378066498,1.1091818719903694,0.18323287570296115,8.0
83,5,2,,2.667867453677618,2.666551829618049,0.10920530700375658,8.0
84,6,1,,0.5384675266337795,0.7680956079842265,0.21667454502725153,8.0
85,6,2,,1.8649777066673652,1.8745257380500324,0.10958897469182699,8.0
86,1,1,,5.950867306908548,0.6924247519149233,0.3823066453990267,9.0
87,1,2,,4.359248068434169,1.1893315526593213,0.3939976314778526,9.0
88,2,1,,2.6202317956655947,0.5801680238762332,0.38859397130070483,9.0
89,2,2,,3.2941707479039213,1.6915989011944426,0.3731137550080303,9.0
90,3,1,,1.4248581594206442,0.7857553803486124,0.3940050045946565,9.0
91,3,2,,2.0762156396872498,1.2412316814565392,0.40727718997573636,9.0
92,4,1,,4.1857353108270425,0.7102593685331433,0.37665310232060967,9.0
93,4,2,,3.767649584863032,1.410749233602361,0.4132916365027546,9.0
94,5,1,,5.239718009542602,0.8497457267097431,0.38798433592227854,9.0
95,5,2,,2.90684403870417,1.7891420651947891,0.22772872790252563,9.0
96,6,1,,5.634085865305896,0.7949261579970323,0.40141395390958196,9.0
97,6,2,,4.3348954461587414,1.5045742976883993,0.40522871694854956,9.0
98,1,1,,2.8836359272617504,0.5383703671590545,0.28900813350488314,10.0
99,1,2,,5.000399515398782,0.9532195266880424,0.3411896059646288,10.0
100,2,1,,3.030089734120612,1.0562898231365323,0.2717419390756381,10.0
101,2,2,,3.534281344602352,0.9389652756674809,0.35359546505290285,10.0
102,3,1,,0.9340413201566797,0.6662259754258771,0.2813089197990384,10.0
103,3,2,,3.6309561553572203,1.2317179365299367,0.36837845125154467,10.0
104,4,1,,4.019124247783517,1.0249735499834522,0.26741070741930606,10.0
105,4,2,,3.5137780361918134,1.1013327496069938,0.343054471304113,10.0
106,5,1,,4.8682774193634275,1.1040338338851792,0.26863800349693673,10.0
107,5,2,,4.314761921636542,1.662254573228271,0.31254148734340637,10.0
108,6,1,,4.256440871694563,0.9468616577457599,0.2740064154321935,10.0
109,6,2,,3.2161614418919338,0.9814837359765274,0.3303603064798295,10.0
110,1,1,,5.275054257294696,0.7442326507564146,0.33464916823239454,11.0
111,1,2,,5.146104363825568,0.8709592258234722,0.35906777249620747,11.0
112,2,1,,1.622192067247475,0.6621853784403909,0.34035364659645173,11.0
113,2,2,,4.0561699182723725,0.9982859037021088,0.39191758964275514,11.0
114,3,1,,1.279543800296957,0.7769418904255121,0.3275104995644505,11.0
115,3,2,,1.967796347314937,0.9341069470802877,0.36714494120116525,11.0
116,4,1,,2.3365298606832687,0.747078799945414,0.3326973310545072,11.0
117,4,2,,4.657453079774861,1.626335010041273,0.3272046179816379,11.0
118,5,1,,3.8350685293341664,0.9414558434817012,0.3264748045026066,11.0
119,5,2,,5.032169747166456,1.4657745083828722,0.37187447034842214,11.0
120,6,1,,3.369248756121273,0.7075117528639358,0.3494014462805194,11.0
121,6,2,,4.364669579442661,1.304972032743608,0.3703568783194514,11.0
122,1,1,,4.444253847868603,1.5008280346501999,0.20037608385693112,12.0
123,1,2,,3.137379102617673,1.0054210741389547,0.2996715942309735,12.0
124,2,1,,1.4309632424391547,0.502529375598106,0.31289891073620957,12.0
125,2,2,,2.016736776492093,1.164805029879807,0.34460617189424914,12.0
126,3,1,,0.7544010951001101,0.8813190256968252,0.27129874434491263,12.0
127,3,2,,1.6213640636463282,1.415409559914531,0.3157758568649002,12.0
128,4,1,,2.559005391528118,1.430000569778054,0.17149127541286696,12.0
129,4,2,,2.8751059677638153,1.4450563365697477,0.3086140097095092,12.0
130,5,1,,3.211092703659741,1.0272610801942947,0.32270516465066046,12.0
131,5,2,,3.056569779877429,1.510640135673853,0.32472513036955786,12.0
132,6,1,,2.2979752296994995,0.9696256099741623,0.23873370586381304,12.0
133,6,2,,2.669906561319841,1.6116977880081231,0.2575134194447059,12.0
134,1,1,,3.0181716992528353,0.8910283363215638,0.30730178299581773,13.0
135,1,2,,3.669588346531864,1.523105344618804,0.34472890072545115,13.0
136,2,1,,2.25498608297035,0.8764524949806464,0.3315404768219226,13.0
137,2,2,,2.5219742113423855,1.180401345498261,0.39159362240554574,13.0
138,3,1,,0.9754521117580908,1.0534607149881936,0.32948269390514884,13.0
139,3,2,,0.7739838812545243,0.7500402757478969,0.3386006252746063,13.0
140,4,1,,2.5976444204505453,1.0657543937065201,0.32506188109250844,13.0
141,4,2,,2.993370490622386,1.6521767920350916,0.3536366351572635,13.0
142,5,1,,3.5518513421472804,1.159725182891033,0.32558371592472224,13.0
143,5,2,,3.0578467499036535,1.6759609092425263,0.3766061972002615,13.0
144,6,1,,3.1683906372249555,1.1792694343764734,0.3027145274069267,13.0
145,6,2,,2.7727137631370837,1.4890420858675804,0.3625035406155274,13.0
146,1,1,,4.059550857873332,0.8600990627530426,0.27182255608146183,14.0
147,1,2,,4.632799481690722,1.4445851727652275,0.35235412452879034,14.0
148,2,1,,1.9105006476082047,0.5284411651647216,0.3116896990474164,14.0
149,2,2,,2.363226585071283,1.2166264282755483,0.36073388984330235,14.0
150,3,1,,2.0093615072487974,0.7336570095371964,0.3417070345998936,14.0
151,3,2,,1.431389444079482,1.1416391701025037,0.3276551078252379,14.0
152,4,1,,4.0537780221082915,1.0491303407905024,0.36495316339651906,14.0
153,4,2,,1.8985961035003538,0.8317477915789043,0.43476296842838563,14.0
154,5,1,,3.051567504941318,1.2034619374073436,0.29118549816317135,14.0
155,5,2,,2.155635316168255,2.099843273810049,0.11765806863052508,14.0
156,6,1,,3.5879997867158457,1.0351074995371756,0.33379073593360575,14.0
157,6,2,,3.169969899199728,2.071708029285565,0.38336279169789617,14.0
158,1,1,,3.2397867287977875,0.7824216118706773,0.3218124580610817,15.0
159,1,2,,4.1732936589450365,1.7355262136351124,0.3410896034531018,15.0
160,2,1,,2.6248795146445993,0.9780600216409497,0.28931858772849084,15.0
161,2,2,,1.7507142188260025,0.8102909530529273,0.40392325036519877,15.0
162,3,1,,1.5875483012686817,1.0142700436352585,0.31308038118025394,15.0
163,3,2,,1.513313784489732,1.0864611212258293,0.4378866757899919,15.0
164,4,1,,2.020015313573956,0.5617626043631142,0.33883493704508005,15.0
165,4,2,,4.158293415183595,1.9123307774508385,0.42616483238993846,15.0
166,5,1,,2.89180093515567,1.0706685791064732,0.30158367719571677,15.0
167,5,2,,3.0021258743734855,1.6872769825404292,0.37507206671841664,15.0
168,6,1,,3.277618612293143,0.9705500256899487,0.32842746557654307,15.0
169,6,2,,3.206548124843453,1.2588089132273084,0.44247321794718597,15.0
170,1,1,,2.9284038596901425,1.119840045740001,0.2524897187963597,16.0
171,1,2,,4.296105170095336,1.2651108759360647,0.38626972529775055,16.0
172,2,1,,1.4034288893066509,0.7965439265206982,0.2177364702547589,16.0
173,2,2,,3.1947245144240526,1.3904454203979637,0.40906298194104773,16.0
