,Parameter,Difference
0,Drift Rate,-0.698869412666671
1,Drift Rate,0.3672979875974023
2,Drift Rate,0.0
3,Drift Rate,-2.3141640133971264
4,Drift Rate,-0.25312250201033026
5,Drift Rate,-0.495602565707844
6,Drift Rate,-2.8076884309895833
7,Drift Rate,-0.9219980502207772
8,Drift Rate,-0.6690586253834497
9,Drift Rate,-0.2606531991880539
10,Drift Rate,-1.0807460244967264
11,Drift Rate,-0.5336954481063603
12,Drift Rate,1.0126430286553334
13,Drift Rate,-1.6850675170765066
14,Drift Rate,0.24942225125560008
15,Drift Rate,-3.288801573040142
16,Drift Rate,-1.297324249738792
17,Drift Rate,-0.848483483865015
18,Drift Rate,-1.0401537190090833
19,Drift Rate,-1.7057112154668472
20,Drift Rate,-1.9768746583533
21,Drift Rate,-0.9275769506607899
22,Drift Rate,-3.3183022278335024
23,Drift Rate,-1.937878744095113
24,Drift Rate,-1.8062835158760508
25,Drift Rate,-2.201618905823453
26,Drift Rate,3.3619076806388835
27,Drift Rate,-1.3065360964873425
28,Drift Rate,-1.1139344610280761
29,Drift Rate,0.1906278745817822
30,Drift Rate,-2.4917777078362358
31,Drift Rate,-2.476959863235018
32,Boundary Separation,2.743635360496658
33,Boundary Separation,-0.6299644127754496
34,Boundary Separation,-6.936351415802678
35,Boundary Separation,-2.7764664560769567
36,Boundary Separation,0.28370819170527617
37,Boundary Separation,-1.9231391769575645
38,Boundary Separation,-1.670287892535049
39,Boundary Separation,1.263924330254278
40,Boundary Separation,0.7313607949330532
41,Boundary Separation,-0.7160636524439428
42,Boundary Separation,3.0431547860795947
43,Boundary Separation,-0.20346810077476274
44,Boundary Separation,-0.14818224251847534
45,Boundary Separation,-0.42502994749145184
46,Boundary Separation,2.0079175146904142
47,Boundary Separation,-4.800470330415762
48,Boundary Separation,-0.044970140013322446
49,Boundary Separation,-0.2505909121029726
50,Boundary Separation,-0.24706837607710597
51,Boundary Separation,1.8528834671107661
52,Boundary Separation,0.723698131473693
53,Boundary Separation,0.24214270434136664
54,Boundary Separation,1.092067915043514
55,Boundary Separation,5.196044297386609
56,Boundary Separation,1.643259010185929
57,Boundary Separation,0.9654783917888903
58,Boundary Separation,1.0627304366489305
59,Boundary Separation,0.03873867761248384
60,Boundary Separation,7.163857392884602
61,Boundary Separation,-0.2907578592229959
62,Boundary Separation,-1.824006000696433
63,Boundary Separation,-0.024128214511267565
64,Non-decision Time,-0.1366662542679359
65,Non-decision Time,0.023226196747015093
66,Non-decision Time,-0.021648545092367896
67,Non-decision Time,0.1866775267767259
68,Non-decision Time,-0.09699404150557459
69,Non-decision Time,0.08259923871483119
70,Non-decision Time,-0.05906571767826421
71,Non-decision Time,-0.1616068343359497
72,Non-decision Time,-0.15130381617123417
73,Non-decision Time,-0.010549779182290095
74,Non-decision Time,-0.1267243269886868
75,Non-decision Time,0.000710138144784489
76,Non-decision Time,-0.011469875156816411
77,Non-decision Time,-0.04212763379269008
78,Non-decision Time,-0.004876070739003702
79,Non-decision Time,0.20422686275554652
80,Non-decision Time,-0.08785208806078701
81,Non-decision Time,0.00993754227179372
82,Non-decision Time,-0.004700675607238691
83,Non-decision Time,-0.14636281330624631
84,Non-decision Time,-0.08165361101815721
85,Non-decision Time,-0.1434875331908848
86,Non-decision Time,-0.07862093768749101
87,Non-decision Time,-0.19788747585629218
88,Non-decision Time,-0.1353749766309597
89,Non-decision Time,-0.18466727352353374
90,Non-decision Time,-0.11185628500846641
91,Non-decision Time,-0.03445861837226921
92,Non-decision Time,-0.1941494939020006
93,Non-decision Time,0.012057647710129793
94,Non-decision Time,0.015505423442275595
95,Non-decision Time,-0.0363608697396903
96,Effective Inhibition,4.283447279584595
97,Effective Inhibition,-1.7545399211567214
98,Effective Inhibition,-1.524573627870812
99,Effective Inhibition,0.9333633169812074
100,Effective Inhibition,1.621267298029645
101,Effective Inhibition,2.817786640049773
102,Effective Inhibition,2.4155357537674806
103,Effective Inhibition,3.2424515847374646
104,Effective Inhibition,-0.017829584689523337
105,Effective Inhibition,3.173931865770829
106,Effective Inhibition,1.3662927795351836
107,Effective Inhibition,3.25909958759346
108,Effective Inhibition,-2.8937801211537204
109,Effective Inhibition,2.359517361008973
110,Effective Inhibition,3.481948427809363
111,Effective Inhibition,1.879929184289987
112,Effective Inhibition,3.1025579486699337
113,Effective Inhibition,2.0233681646496233
114,Effective Inhibition,0.25702483588819547
115,Effective Inhibition,3.9349698368676114
116,Effective Inhibition,5.626930420492374
117,Effective Inhibition,1.470605220619202
118,Effective Inhibition,3.6412177968587294
119,Effective Inhibition,8.257975697255365
120,Effective Inhibition,7.082118125753464
121,Effective Inhibition,5.14395894454845
122,Effective Inhibition,-4.191493182811898
123,Effective Inhibition,1.5577357465808799
124,Effective Inhibition,8.156625599642858
125,Effective Inhibition,-2.0116028523119347
126,Effective Inhibition,1.480949916209327
127,Effective Inhibition,3.9424683801733194
