,Parameter,Difference
0,Drift Rate,-0.6296233997574332
1,Drift Rate,-0.8033300723116202
2,Drift Rate,-0.0848806182267994
3,Drift Rate,-0.16239457706698346
4,Drift Rate,-0.22083313741103489
5,Drift Rate,-0.4384240265719299
6,Drift Rate,-0.33565616689247135
7,Drift Rate,-0.47898579145140285
8,Drift Rate,-0.3557487963786039
9,Drift Rate,-0.769194308826852
10,Drift Rate,0.026163629335854893
11,Drift Rate,-0.7373244473151361
12,Drift Rate,-0.560260826487722
13,Drift Rate,-0.5621555999594012
14,Drift Rate,-0.188110840975521
15,Drift Rate,-0.5894283339674541
16,Drift Rate,-0.1055813423227881
17,Drift Rate,-0.5631390884307808
18,Drift Rate,-0.22090545270324213
19,Drift Rate,-0.1961711634586768
20,Drift Rate,0.1722320549650753
21,Drift Rate,-0.41239627500783277
22,Drift Rate,-0.182679201973656
23,Drift Rate,-0.3232854568008688
24,Drift Rate,-0.5573427311945163
25,Drift Rate,-0.21198323930357849
26,Drift Rate,-0.7990982204577433
27,Drift Rate,0.1089809797014131
28,Drift Rate,-0.24660542353648002
29,Drift Rate,-0.028053220901817
30,Drift Rate,0.06556552573197678
31,Drift Rate,0.1554879748121278
32,Drift Rate,-0.027978018816835606
33,Drift Rate,-0.49207007534305586
34,Boundary Separation,0.17869252498766164
35,Boundary Separation,2.135611278025071
36,Boundary Separation,-0.41189077249314443
37,Boundary Separation,-0.4174542895159279
38,Boundary Separation,-0.4186426148450826
39,Boundary Separation,0.10274405556625688
40,Boundary Separation,-0.9714162356849112
41,Boundary Separation,7.347247963629424
42,Boundary Separation,-1.5244470135604962
43,Boundary Separation,3.052639126707687
44,Boundary Separation,-0.13227657954299543
45,Boundary Separation,1.1669244655951494
46,Boundary Separation,-0.8437848536470307
47,Boundary Separation,0.21500530640281923
48,Boundary Separation,3.921290409875457
49,Boundary Separation,0.4400071702183763
50,Boundary Separation,-0.4234740208550667
51,Boundary Separation,-0.7749625535013154
52,Boundary Separation,-0.1268597367639559
53,Boundary Separation,-0.4843092309627046
54,Boundary Separation,0.05124103148853454
55,Boundary Separation,-0.0901694299263287
56,Boundary Separation,-0.22933044053831608
57,Boundary Separation,-0.5329536229099145
58,Boundary Separation,-1.2102454437856816
59,Boundary Separation,0.7804332824672902
60,Boundary Separation,1.7859037707487584
61,Boundary Separation,-2.2153480355027795
62,Boundary Separation,-0.6791734598625239
63,Boundary Separation,0.03500999953964756
64,Boundary Separation,0.2294915272766498
65,Boundary Separation,0.21032938920258903
66,Boundary Separation,0.02879456011338366
67,Boundary Separation,-0.1419734146915368
68,Non-decision Time,-0.08230924718789831
69,Non-decision Time,-0.0912974709922139
70,Non-decision Time,0.0005967209405577933
71,Non-decision Time,0.012561062634870612
72,Non-decision Time,5.246318004739625e-05
73,Non-decision Time,-0.0398642482966656
74,Non-decision Time,0.006460471666299303
75,Non-decision Time,-0.14840574138534382
76,Non-decision Time,0.03151092088732349
77,Non-decision Time,-0.1335677500782712
78,Non-decision Time,0.00032594736282830217
79,Non-decision Time,-0.1060810538443834
80,Non-decision Time,0.0003155261150337013
81,Non-decision Time,-0.028700713661640398
82,Non-decision Time,-0.1250918636044613
83,Non-decision Time,-0.049368195436221785
84,Non-decision Time,0.0059255150206904
85,Non-decision Time,0.0217756923468055
86,Non-decision Time,-0.012185337208988622
87,Non-decision Time,0.0003561549977679074
88,Non-decision Time,0.004002911426723696
89,Non-decision Time,-0.004777036405720192
90,Non-decision Time,0.017579021617805002
91,Non-decision Time,-7.543077050119196e-05
92,Non-decision Time,0.0566545751482309
93,Non-decision Time,0.0020333943704013008
94,Non-decision Time,-0.1092508570119841
95,Non-decision Time,0.000562052689229306
96,Non-decision Time,-4.15454165502982e-05
97,Non-decision Time,-0.0005676344477604928
98,Non-decision Time,-0.013061568587600991
99,Non-decision Time,-0.020709819073122415
100,Non-decision Time,0.0003063299613556003
101,Non-decision Time,-0.007423450996568798
102,Effective Inhibition,1.5037573564358073
103,Effective Inhibition,2.1080552252177647
104,Effective Inhibition,0.612413301300978
105,Effective Inhibition,0.10583342344727953
106,Effective Inhibition,0.9496244417967139
107,Effective Inhibition,-0.7953905051909445
108,Effective Inhibition,2.2389313784581475
109,Effective Inhibition,11.397977084913801
110,Effective Inhibition,0.029551815587039343
111,Effective Inhibition,3.7487786687689164
112,Effective Inhibition,-0.09475209117943528
113,Effective Inhibition,6.3648359218330475
114,Effective Inhibition,1.030396457628826
115,Effective Inhibition,6.545089137009516
116,Effective Inhibition,0.3086010978859459
117,Effective Inhibition,3.5367160248865934
118,Effective Inhibition,1.6637031011991894
119,Effective Inhibition,1.775947003407631
120,Effective Inhibition,-0.5739667501442094
121,Effective Inhibition,0.9890318854446534
122,Effective Inhibition,1.9592520671887828
123,Effective Inhibition,2.0064024569985506
124,Effective Inhibition,2.0364694086119774
125,Effective Inhibition,1.9356374183140366
126,Effective Inhibition,1.8785169171493261
127,Effective Inhibition,3.3804717583874933
128,Effective Inhibition,8.096309904958076
129,Effective Inhibition,-2.1478120812695565
130,Effective Inhibition,1.7121189392800886
131,Effective Inhibition,1.6824305887501492
132,Effective Inhibition,0.6129187468168897
133,Effective Inhibition,1.987964479760434
134,Effective Inhibition,1.663159672128038
135,Effective Inhibition,5.446743237166542
