,Participant,Difficulty,Incentive,Drift Rate,Boundary Separation,Non-decision Time,Effective Inhibition
1,1,med,gain,0.09109848637023035,2.8028068641162895,0.11422897968708623,3.0837756151209894
1,1,med,loss,0.14198908590947396,2.293854090011188,0.18492373942003415,2.055289948831981
1,1,med,none,0.043653787190423995,2.9607490909253746,0.1396708674999143,2.2172933480676518
2,2,med,gain,0.29726173210244866,2.9624790248741526,0.28872739208178155,3.07381842796753
2,2,med,loss,0.09674417469706853,2.8028441736966268,0.22169061614047814,2.6632555287182624
2,2,med,none,0.07547213604557462,2.739333875740379,0.10090905866593813,2.3586214672438874
3,3,med,gain,0.20415829284576914,0.5643564471461675,0.21905711681917917,-0.12941774078915266
3,3,med,loss,0.17805915610198306,1.1180562744191516,0.17534837522190078,6.816881381019532
3,3,med,none,0.11227677077875486,0.6485171562625396,0.21939528459887542,8.52966664375158
4,4,med,gain,0.43008876259905016,2.9502218582054125,0.138905604122395,4.022450837903451
4,4,med,loss,0.3926453522193019,1.8127924479889828,0.10087997224571338,3.301184297906151
4,4,med,none,0.42334728393962084,0.7595181745982156,0.21700070978104907,0.32704827667636616
5,5,med,gain,0.0,0.9372243630249278,0.2843247079635029,3.3779013859143805
5,5,med,loss,0.03919277742759798,1.3905812568681504,0.27924168379433845,4.36416239586057
5,5,med,none,0.10561837704594813,0.5017591353904418,0.3982340184074715,-1.5237263113836832
6,6,med,gain,0.43875671380992226,2.586339460095742,0.10616599779935432,2.697971928180377
6,6,med,loss,0.08424531886687059,2.6212787463552925,0.10123763671010794,2.798619450043845
6,6,med,none,0.3486434753639744,1.6871845804019863,0.10094783831677107,2.1023468528093843
7,7,med,gain,0.06878502867754563,1.7420939275246337,0.10062897224139583,2.2885791499838337
7,7,med,loss,0.0,2.568413301462324,0.12173482437998684,3.208523033549059
7,7,med,none,0.21594957408998394,1.5379511588678192,0.10569619368456007,2.2635454741213983
8,8,med,gain,1.161826759269902,1.4863799467960066,0.4568556058712771,3.8749683540959516
8,8,med,loss,1.1788176465580193,1.0443718887657316,0.4809373372536327,4.6499373926224745
